Company,Country,Year,Policy & Commitments Score,Governance Score,"Know, Show & Fix Score",Traceability Score,Spotlight Issues Score,Fashion Transparency Index
Abercrombie & Fitch,United States,2023,6.439431235,4.5451515,2.142785714,5.135135135,1.111111111,3.329979589
Adidas AG,Germany,2023,9.393944056,10,4.999880952,5.675675676,3.888833329,5.599960614
Aeropostale Inc.,United States,2023,1.666613054,0,0.4761904762,0,0,0.2999929231
Airwair International Ltd (Dr Martens),United Kingdom,2023,7.272764569,8.1816515,3.333285714,2.297297297,2.66664444,3.519981587
AJIO,India,2023,3.333314685,2.727,1.19047619,0,0.1111111111,0.7999855385
Aldi Nord,Germany,2023,7.878797203,4.5451515,3.809428571,2.297297297,1.555553333,3.119971097
Aldi Sud,Germany,2023,8.181855478,5.4541515,4.047571429,2.162162162,2.2222,3.439971589
ALDO,Canada,2023,5.075801865,1.818,2.857119048,0.1351351351,0.4444444444,1.429993846
"Amazon.com, Inc.",United States,2023,7.651529138,2.727,2.142833333,1.891891892,1.444444444,2.569985846
American Eagle Outfitters,United States,2023,5.909144522,4.5451515,0.9523809524,0.1351351351,2.666666667,2.139993743
Anta Sports Products,China,2023,0.07575757576,0,0,0,0,0.01
Anthropologie,United States,2023,3.787944056,3.636,1.19047619,0,1.222188884,1.299980614
Aritzia,United States,2023,6.136368298,5.4545,3.095214286,0.1351351351,1.555533329,2.169986614
Asics Corporation,Japan,2023,7.954587413,5.4545,3.809452381,5,3.111126667,4.529997138
Asos,United Kingdom,2023,9.090939394,5.4541515,5.714142857,5,3.111055547,4.999942663
Balenciaga,Spain,2023,9.772729604,10,5.952309524,0.9459459461,5.666744458,5.050016313
Bally,Switzerland,2023,5.98486014,3.636,1.190452381,5,1.888897778,3.309984738
Banana Republic,United States,2023,9.166680653,5.4541515,5.476095238,3.648648649,3.777771111,4.809966112
BCBGMAXAZRIA,United States,2023,0.3787808858,0,0.4761904762,0,0,0.1299990769
Beanpole,Republic of Korea,2023,2.424237762,2.727,0,0.1351351351,0.5555644444,0.6799905846
Belle International Holdings,China,2023,0,0,0,0,0,0
Bershka,Spain,2023,8.939428904,9.091,5.952309524,1.081081081,5.777860013,4.98002622
Big W,Australia,2023,7.575794872,3.636,4.523785714,4.594594595,1.666622213,3.87996892
Billabong International Ltd,Australia,2023,3.257515152,0.909,0.7142857143,0.1351351351,0,0.629988
Bloomingdale's,United States,2023,3.787974359,0,0,0,0.4444444444,0.6600126154
Bonprix,Germany,2023,7.272780886,7.272303,4.285619048,4.45945946,1.1111,3.719968409
Boohoo.com,United Kingdom,2023,4.469622378,4.5451515,2.142857143,1.756756757,2.111088884,2.429968818
Bosideng International Holdings Limited,China,2023,0.07575524476,0,0,0,0,0.009999692308
Bottega Veneta,Italy,2023,9.772729604,10,5.952309524,0.9459459461,5.666744458,5.050016313
"Brooks Sports, Inc",United States,2023,6.439412587,0.909,2.857095238,5,2.111088889,3.609982462
Brunello Cucinelli,Italy,2023,3.863769231,3.636,2.380928571,0,0.8888977778,1.390000738
Buckle Inc,United States,2023,1.515123543,0.909,0.9523809524,0,0,0.3999923077
Burberry Group plc,United Kingdom,2023,8.106095571,8.1816515,4.761904762,0.1351351351,4.333315551,3.82999088
Burlington Stores Inc,United States,2023,4.848568765,2.727,2.142857143,2.142857143,0,0.8888666622
C&A,Belgium,2023,8.78788345,7.2726515,7.142714286,7.432432433,5.222119987,6.759936477
C&J Clark International,United Kingdom,2023,3.560655012,1.818,2.380928571,1.756756757,0.6666666667,1.709994462
Calvin Klein Inc.,United States,2023,7.954608392,5.4541515,5.237952381,4.324324324,3.777748884,4.809956572
Calzedonia,Italy,2023,8.25758042,4.5453485,4.523666667,9.324324324,4.000171142,6.250033561
Canada Goose,Canada,2023,5.075815851,5.4541515,0.9523571429,0.1351351351,1.2222,1.549978358
Capri Holdings Ltd (formerly Michael Kors),United Kingdom,2023,6.515172494,6.3635,2.619,0.1351351351,1.999977778,2.339980769
Carhartt Inc,United States,2023,2.272787879,0.909,0.4761904762,0.8108108108,0.2222222222,0.740004
Carolina Herrera,United States,2023,5.833354312,3.636,0.9523809524,0,1.333322222,1.569982769
Caroll,France,2023,1.363617716,0,1.428571429,0,0.1111111111,0.4599975385
Carrefour S.A.,France,2023,6.893981352,6.3635,4.047619048,0.9459459459,0.5555644444,2.350002738
Carter's Inc,United States,2023,7.045468531,2.727,2.857119048,0.1351351351,2.444471111,2.449995446
Celine,France,2023,8.333347319,6.3631515,3.095238095,0.1351351351,2.999984444,3.019974912
Celio International,France,2023,0.2272727273,0,0.2380714286,0,0,0.069996
Champion,United States,2023,6.590951049,4.5451515,1.904738095,4.189189189,3.111115556,3.749989805
Chanel SA,France,2023,2.878862471,2.727,0.2380952381,0.1351351351,1.333333333,1.059997846
Chico's FAS Inc,United States,2023,5.227347319,1.818,2.380952381,0.1351351351,0.4444622222,1.370008246
Children's Place Inc,United States,2023,5.530361305,2.727,0.7142619048,0,2.000008889,1.689994892
Chloe,France,2023,7.272734266,7.2728485,1.428571429,6.351351352,2.444488889,4.280022257
Christian Dior,France,2023,7.878801865,6.3631515,3.095238095,0.1351351351,2.888873333,2.919974912
Coach Stores Limited,United Kingdom,2023,6.287939394,8.1818485,3.80947619,2.702702703,4.222304458,4.150030939
Columbia Sportswear,United States,2023,6.287925408,4.5451515,2.85702381,5.810810811,1.2222,3.66996482
Converse,United States,2023,8.712156177,3.636,4.047595238,5.405405406,3.888884444,4.989983015
Cortefiel SA,Spain,2023,6.439456876,2.727,2.857119048,0.1351351351,1.555555556,2.049992308
Costco Wholesale,United States,2023,3.712177156,2.7271515,1.190452381,0.1351351351,0.3333333333,0.9699980506
Cotton on Group,Australia,2023,4.469629371,1.8181515,2.61902381,2.162162162,1.222222222,2.189985743
Decathlon Group,France,2023,6.818221445,1.8183485,3.333285714,0.1351351351,2.777755556,2.579996565
Deichmann SE,Germany,2023,1.666750583,0,0,0,0,
Desigual,Spain,2023,5.000079254,0.909,0.9523809524,3.648648649,1.444453333,2.460009662
Dick's Sporting Goods,United States,2023,5.909177156,4.5451515,1.904738095,4.189189189,0.5555555556,2.739994051
Diesel SpA,Italy,2023,5.833368298,1.818,2.380952381,0.1351351351,1.666655556,1.889992615
"Dillard's, Inc.",United States,2023,1.591002331,0.909,0.4761904762,0,0,0.3300083077
DKNY,United States,2023,0.4545104895,0,0,0,0,0.05999538462
Dolce & Gabbana,Italy,2023,0.6818088578,1.818,0,0,0,0.1699907692
Dressmann,Norway,2023,8.863671329,6.363303,6.428428571,8.513513514,3.888948898,6.449987551
DSW Inc.,United States,2023,3.106,0.909,0.7142857143,0,0.3333333333,0.689988
Eddie Bauer,United States,2023,2.272708625,0,0.2380952381,0.1351351351,0.2222111111,0.4599935385
El Corte Ingles S.A.,Spain,2023,6.515200466,3.636,2.380928571,1.216216216,1.666675556,2.379989662
Ermenegildo Zegna,Italy,2023,5.605965035,2.727,1.19047619,4.864864865,2.1111,3.259971385
Esprit Holdings Limited,Hong Kong,2023,6.969703963,2.7273485,4.285547619,7.162162163,1.666622213,4.479960254
Express Inc,United States,2023,2.803086247,1.8181515,0.4761904762,0,0.2222222222,0.6100060506
F&F,United Kingdom,2023,8.712158508,6.3635,4.04752381,6.216216217,2.333277773,4.789962922
Fabletics,United States,2023,0.6060606061,0,0,0,0.2222222222,0.16
Falabella,Chile,2023,2.878787879,0.909,1.666642857,0,1.000017778,1.0599984
Famous Footwear,United States,2023,3.863601399,0.909,0.2380952381,0.1351351351,0.7777866667,0.9099945846
"Fanatics, Inc",United States,2023,4.621228438,0,2.142809524,2.297297297,0.3333333333,1.769994154
Fashion Nova,United States,2023,0.2272657343,0,0,0,0,0.02999907692
Fendi,Italy,2023,8.333347319,9.0906515,4.047571429,7.837837838,3.666651111,5.819976912
FILA,Republic of Korea,2023,5.530361305,1.818,1.904738095,0.1351351351,0.8888977778,1.489998892
Fjallraven,Sweden,2023,8.484850816,4.5451515,6.190357143,2.162162162,2.777753329,3.999958172
Foot Locker Inc.,United States,2023,3.333305361,3.636,0.2380952381,0,0.7777777778,0.9199803077
Foschini,South Africa,2023,5.378881119,5.4545,3.095238095,0,0.8888755511,1.790005506
"Fossil Group, Inc.",United States,2023,5.681876457,0.909,0.7142619048,1.216216216,0.8888977778,1.590002892
Free People,United States,2023,3.787944056,3.636,1.19047619,0,1.222188884,1.299980614
Fruit of the Loom,United States,2023,5.984892774,4.5451515,0.9523809524,4.72972973,2.222248889,3.350002112
Furla,Italy,2023,2.348428904,0.909,0.7142857143,0,0,0.4699886154
G-star RAW,Netherlands,2023,7.424247086,0.909,5.237904762,7.162162162,2.444377773,4.899940614
Gap inc.,United States,2023,9.166680653,5.4541515,5.476095238,3.648648649,3.777771111,4.809966112
George (brand),United Kingdom,2023,5.68190676,2.727,0.9523809524,4.45945946,1.222222222,2.789999692
Gerry Weber,Germany,2023,4.01520979,0,0.7142857143,0.1351351351,0.3333333333,0.8100076923
Gianni Versace S.r.l.,Italy,2023,6.59093007,6.3635,2.619,0.1351351351,1.999977778,2.349980769
Gildan Activewear Inc.,Canada,2023,9.015153846,9.091,4.99997619,6.081081081,3.11110444,5.349997906
Giorgio Armani SpA,Italy,2023,8.409121212,3.636,3.095214286,4.324324324,2.11112,3.8299872
GU,Japan,2023,8.030347319,3.636,6.190333333,4.45945946,4.111093333,5.059959446
Gucci,Italy,2023,9.772729604,9.0906515,5.952309524,9.594594595,6.777833342,7.969996977
Guess? Inc,United States,2023,5.227391608,2.727,1.666642857,4.054054054,2.222222222,3.089999692
Gymshark Limited,United Kingdom,2023,2.72734965,1.818,4.047428571,3.918918919,1.111111111,2.679970154
H&M,Sweden,2023,9.015158508,10,5.714142857,7.432432433,6.444377773,7.109952922
Hanesbrands,United States,2023,6.590951049,4.5451515,1.904738095,4.189189189,3.111115556,3.749989805
Heilan Home,China,2023,0,0,0,0,0,0
Helly Hansen AS,Norway,2023,4.242508159,0.909,3.095238095,5.405405406,0.8888666667,3.039999077
Hema,Netherlands,2023,3.712268065,0.909,1.428452381,5.135135135,0.2222222222,2.369995385
Hermes International,France,2023,6.287932401,7.2725,3.095190476,1.486486487,1.888915556,2.789998677
Hollister,United States,2023,6.439431235,4.5451515,2.142785714,5.135135135,1.111111111,3.329979589
Hudson's Bay Company,Canada,2023,3.181904429,0,0.9523809524,0.9459459459,0,0.8600113846
Hugo Boss AG,Germany,2023,8.484855478,10,4.999928571,5.135135135,4.333326667,5.479986523
Intimissimi S.p.A,Italy,2023,8.25758042,4.5453485,4.523666667,9.324324324,4.000171142,6.250033561
Ito Yokado,Japan,2023,5.227354312,1.818,0.9523809524,0.1351351351,0.3333333333,1.090002769
Jack & Jones,Denmark,2023,6.363685315,3.6361515,4.523690476,5.27027027,2.111077773,4.079965126
Jack Wolfskin,Germany,2023,5.000053613,0.909,1.428547619,4.054054054,0.8888755511,2.459994275
JD Sports Fashion plc,United Kingdom,2023,3.788,4.5455,2.857119048,2.857119048,3.783783784,1.777766667
Jil Sander,Italy,2023,5.833347319,1.818,2.857142857,0.1351351351,1.1111,1.769989846
Jockey International Inc,United States,2023,1.212095571,0,0.2380952381,0,0,0.1999966154
